character1,character2,tie
Aerys,Aegon,father
Arya,Eddard,father
Arya,Catelyn,mother
Bran,Eddard,father
Bran,Catelyn,mother
Catelyn,Hoster,father
Cersei,Tywin,father
Daenerys,Aerys,father
Eddard,Rickard,father
Edmure,Hoster,father
Gendry,Robert,father
Gilly,Craster,father
Jaime,Tywin,father
Joffrey,Cersei,mother
Joffrey,Jaime,father
Jon,Eddard,father
Lancel,Kevan,father
Loras,Mace,father
Lothar,Walder,father
Lysa,Hoster,father
Mace,Olenna,mother
Margaery,Mace,father
Myrcella,Cersei,mother
Myrcella,Jaime,father
Ramsay,Roose,father
Rhaegar,Aerys,father
Rickon,Eddard,father
Rickon,Catelyn,mother
Robb,Eddard,father
Robb,Catelyn,mother
Roslin,Walder,father
Sansa,Eddard,father
Sansa,Catelyn,mother
Shireen,Stannis,father
Theon,Balon,father
Tommen,Cersei,mother
Tommen,Jaime,father
Tyrion,Tywin,father
Viserys,Aerys,father
